,table,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
namespace,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,amazon_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col0,,"{'cf': 'review_info', 'colour': '(PRODUCT)RED'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': '(PRODUCT)RED'}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': nan}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Midnight'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': nan}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': nan}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Blue'}","{'cf': 'review_info', 'colour': 'Purple'}","{'cf': 'review_info', 'colour': 'Starlight'}"
col1,,"{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom'}","{'cf': 'review_info', 'country': 'the United Kingdom 🇬🇧'}","{'cf': 'review_info', 'country': 'the United Kingdom 🇬🇧'}","{'cf': 'review_info', 'country': 'Germany 🇩🇪'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'Germany 🇩🇪'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'France 🇫🇷'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'Germany'}","{'cf': 'review_info', 'country': 'Germany'}","{'cf': 'review_info', 'country': 'Germany'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'France'}","{'cf': 'review_info', 'country': 'France'}"
col2,,"{'cf': 'review_info', 'date': '30/11/2022'}","{'cf': 'review_info', 'date': '28/11/2022'}","{'cf': 'review_info', 'date': '04/12/2022'}","{'cf': 'review_info', 'date': '22/11/2022'}","{'cf': 'review_info', 'date': '03/12/2022'}","{'cf': 'review_info', 'date': '26/10/2022'}","{'cf': 'review_info', 'date': '26/10/2022'}","{'cf': 'review_info', 'date': '12/10/2022'}","{'cf': 'review_info', 'date': '31/10/2022'}","{'cf': 'review_info', 'date': '30/11/2022'}","{'cf': 'review_info', 'date': '24/11/2022'}","{'cf': 'review_info', 'date': '05/12/2022'}","{'cf': 'review_info', 'date': '25/11/2022'}","{'cf': 'review_info', 'date': '07/12/2022'}","{'cf': 'review_info', 'date': '01/12/2022'}","{'cf': 'review_info', 'date': '26/11/2022'}","{'cf': 'review_info', 'date': '19/11/2022'}","{'cf': 'review_info', 'date': '29/11/2022'}","{'cf': 'review_info', 'date': '18/11/2022'}","{'cf': 'review_info', 'date': '02/12/2022'}","{'cf': 'review_info', 'date': '17/11/2022'}","{'cf': 'review_info', 'date': '17/11/2022'}","{'cf': 'review_info', 'date': '15/11/2022'}","{'cf': 'review_info', 'date': '01/11/2022'}","{'cf': 'review_info', 'date': '20/10/2022'}","{'cf': 'review_info', 'date': '02/11/2022'}","{'cf': 'review_info', 'date': '04/11/2022'}","{'cf': 'review_info', 'date': '26/10/2022'}","{'cf': 'review_info', 'date': '21/10/2022'}","{'cf': 'review_info', 'date': '12/10/2022'}"
col3,,"{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}","{'cf': 'review_info', 'price': 949.0}"
col4,,"{'cf': 'review_info', 'size': '256GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '256GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '256GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '512GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '256GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '256GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': nan}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': nan}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': nan}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '128GB'}","{'cf': 'review_info', 'size': '256GB'}"
col5,,"{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 3.0}","{'cf': 'review_info', 'stars': 1.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}","{'cf': 'review_info', 'stars': 5.0}"
col6,,"{'cf': 'review_info', 'text': 'Apple return to making a large version of their normal handset for the first time since the 8 plus and what a brilliant bit of kit it is.I find the cameras on a standard iPhone superb and more than good enough for my needs. For the iPhone 12 & 13 I’ve had to get the Pro Max to get the larger screen.Don’t get me wrong, the pro max is a great phone but unless you’re a serious photographer it’s likely the camera’s never going to reach its potential with the average user.Being able to buy the 256GB version of the standard iPhone for more or less the price of the 128GB pro Max is a real yes please moment.As an avid product red buyer I’m also delighted to be able to go back to red. The Pro Max has never been available in any of the colours I like so I’ve always hidden it in a case.The iPhone 14 Plus is fast, the battery life a massive improvement, the cameras are excellent and the price point, whilst expensive, offers the average user more for their money.'}","{'cf': 'review_info', 'text': ""I love this phone. I've never had an iPhone so from my perspective this item is insanely good.The screen is large, battery lasts long and the camera is extremely good (it supersedes what I had on my previous phones). It's expensive but worth the money.However, from what I understood, the refresh frame on the screen on the Plus version is a bit lower than the Pro. So perhaps if you are picky when it comes to iphones, look into that because it might bother you. It doesnt bother me at all (due to my previous phone being total garbo).5/5 stars! Love it :)""}","{'cf': 'review_info', 'text': 'Really nice phone, nice screen and interest-free payments.  Cheaper than the Apple upgrade program'}","{'cf': 'review_info', 'text': 'Not much change from the 13 series but I come from series 11. It’s a huge leap. Amazing camera. Very fast. Clear screen. Amazing camera. Brilliant operating system. Crash detection on this model. Get at least 256gb one as you’ll need it. You will need to pay iCloud storage too as 5gb free isn’t enough.'}","{'cf': 'review_info', 'text': 'Top phone'}","{'cf': 'review_info', 'text': 'Very nice phone with large screen and some fancy new features. Would highly recommend this for value for money as it’s the same screen as the pro but for less money.'}","{'cf': 'review_info', 'text': 'such a great quality phone love it!!!!'}","{'cf': 'review_info', 'text': 'I’ve updated from an iPhone 11 to the 14 plus huge phone so many features first day I had it was in danger of getting rsi !! Inside the battery symbol there is a number telling you how much battery is left ! Great camera features'}","{'cf': 'review_info', 'text': 'There is a wire in the box but no plug to charge the phone'}","{'cf': 'review_info', 'text': 'The iPhone 14 Plus is extremely bad value. Apart from a slightly larger screen, there are no standout features that make this superior than last years iPhone 13. Even worse, if you pay a little bit more, you can get the flagship iPhone 14 Pro! My biggest question is who did Apple make this for?!'}","{'cf': 'review_info', 'text': 'Upgraded from an 8 plus. Need I say more. Love it.'}","{'cf': 'review_info', 'text': 'Love it!'}","{'cf': 'review_info', 'text': 'Wie immer bei Apple, ein top gerät. Die preispolitik bezüglich des speichers ist zwar fragwürdig mit ca 400€ differenz zwischen 128GB und 1TB. Aber mir persönlich reichen 128GB in dem fall. Es ist kein schnäpchen und die arbeitsumstände sollen ja auch nicht die besten sein, doch das müssen die verantwortlichen in den griff bekommen.Im vergleich zu android läuft beim iphone alles flüssig und das gefällt mir.Wer auf ein paar spielereien wie die kameranotch und die kamera pro funktionen verzichten kann aber trotzdem die größe des pro max möchte macht hier nichts falsch. Wenns vom geld her geht. In schulden sollte sich keiner wegen einem smartphone stürzen nur um mithalten zu können. Auch sollte man vielleicht vorher das smartphone mal in der hand haben und das normale mit dem plus vergleichen. Das normale liegt top in der hand, das plus erfordert schon öfters mal beide hände. Somit könnte man sich eventuell paar hundert euro sparen und das normale mit 6,1 zoll nehmen. Es ist auf jedenfall ein unterschied der sich auch in der hosentasche bemerkbar macht.'}","{'cf': 'review_info', 'text': 'Parfait, livré en 2 jours ouvrés avec primeConforme à la description, très fiable Amazon.Reçu en point relais, parfaitEnvoi et réception très rapide'}","{'cf': 'review_info', 'text': 'J’avais un iPhone XR en parfait état de fonctionnement et franchement il est aussi bien que le 14 plus. J’en viens à me demander pourquoi je l’ai acheté ☹️'}","{'cf': 'review_info', 'text': 'Ravie de mon achat, on ne s’attend  pas à moins de la part d’Apple !Tellement facile à l’utilisation, à la mise en route avec la synchronisation. Que du bonheur 💜'}","{'cf': 'review_info', 'text': 'Habe mich bewusst für das größere iPhone 14 Plus entschieden. Sehr komfortabel, wenn man nicht noch extra ein I-Pad nutzen will. Aber auch nicht zu groß. Kamera ist eine Wucht!'}","{'cf': 'review_info', 'text': 'Super produit !Qualité au top!Fonctionnalité parfait!'}","{'cf': 'review_info', 'text': ""Utilisatrice Apple depuis longtemps, j'ai mis longtemps à passer le pas entre mon iphone XR et le nouveau. Franchement pas déçue. Idéal pour ceux qui aiment les gros smartphone.""}","{'cf': 'review_info', 'text': 'Expédition rapide'}","{'cf': 'review_info', 'text': 'Apple est Apple  super qualité'}","{'cf': 'review_info', 'text': ""C'est mon premier utilisation dun iphone. Je trouve très bien. Plein d'astuces.""}","{'cf': 'review_info', 'text': 'Très satisfaite'}","{'cf': 'review_info', 'text': 'Ich glaube zum Gerät selbst muss man ja nichts schreiben , der Versand war blitzschnell ,Freitag bestellt , Samstag wurde geliefert Top'}","{'cf': 'review_info', 'text': 'Ich bin von meinem I Phone 12 umgestiegen. Die Geschwindigkeit macht sich bemerkbar und auch der Akku ist sehr gut. Allerdings würde ich nicht von einem I Phone 13 umsteigen, da dann der Unterscheid den Aufpreis nicht Wert ist.Trotzdem ein tolles Handy.'}","{'cf': 'review_info', 'text': 'Ich bin sehr zufrieden'}","{'cf': 'review_info', 'text': 'Au top!!'}","{'cf': 'review_info', 'text': 'Iphone au top livraison au top'}","{'cf': 'review_info', 'text': 'Jamais déçu par Apple , il est magnifique !!! Plus de 15 ans chez Apple et toujours ravi !'}","{'cf': 'review_info', 'text': 'Téléphone parfait. Ça me change poir une fois que j’ai un téléphone neuf et acheté comme ça. C’est un vrai bonheur. Taille parfaite ça me change 😍'}"
col7,,"{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}","{'cf': 'review_info', 'title': 'Apple iPhone 14 Plus'}"
